case_id	reference	visual_status	behavior_status
142	welcome-tour-full/step-02-any-agent.png	OPEN	OPEN
143	welcome-tour-full/step-02-automations-goals.png	OPEN	OPEN
144	welcome-tour-full/step-02-browser-devices.png	OPEN	OPEN
145	welcome-tour-full/step-02-review-prs.png	OPEN	OPEN
146	welcome-tour-full/step-02-shortcuts.png	OPEN	OPEN
147	welcome-tour-full/step-02-tasks-worktrees.png	OPEN	OPEN
148	welcome-tour-full/step-03-provider-codex.png	OPEN	OPEN
149	welcome-tour-full/step-03-provider-setup.png	OPEN	OPEN
150	welcome-tour-full/step-04-appearance-dark.png	OPEN	OPEN
151	welcome-tour-full/step-04-appearance-light.png	OPEN	OPEN
152	welcome-tour-full/step-04-appearance-system.png	OPEN	OPEN
153	welcome-tour-full/step-04-appearance.png	OPEN	OPEN
154	welcome-tour-full/step-05-project.png	OPEN	OPEN
155	welcome-tour-full/step-05-skip-for-now.png	OPEN	OPEN
156	welcome-tour-full/step-06-finish.png	OPEN	OPEN
